track_id,album_id
6f807x0ima9a1j3VPbc7VN,2oCs0DGTsRO98Gh5ZSl2Cx
0r7CVbZTWZgbTCYdfa2P31,63rPSO264uRjW1X5E6cWv6
1z1Hg7Vb0AhHDiEmnDE79l,1HoSmj2eLcsrR0vE9gThr4
75FpbthrwQmzHlBJLuGdC7,1nqYsOef1yKKuGOVchbsk6
1e8PAfcKUYoKkxPhrHqw4x,7m7vv9wlQ4i0LFuJiE2zsQ
7fvUMiyapMsRRxr07cU8Ef,2yiy9cd2QktrNvWC2EUi0k
2OAylPUDDfwRGfe0lYqlCQ,7INHYSeusaFlyrHSNxm8qH
6b1RNvAcJjQH73eZO4BLAB,6703SRPsLkS4bPtMFFJes1
7bF6tCO3gFb8INrEDcjNT5,7CvAfGvq4RlIwEbT9o8Iav
1IXGILkPm0tOCNeq00kCPa,4QxzbfSsVryEQwvPFEV5Iu
3eFJI470ALf1EYjywPRsJy,49bXZtlI5kQSqQMSCnSaWO
3iJeF2izF1QcpCgUc97BLl,6e6RVFWdZaoTiLAZOCMnps
6e0CvGZf7CouOpYF8toXHC,2R66I0nzp3NnuUlzIGWQ5P
3eLdNmnRWr9gIyBcqTSSti,7Al4TIo0c5twNLfdOh1y1u
55nMnifaQWKe3f9cbwOXwx,2vx3BtBMn8Ed3ygEg1OT2t
1EJgymgJHcjSOGSHcYaxvW,1imXAvLuowvPYIsFMYUPY0
5WaXMQMlQpq8pwIdaFP43L,4lXBBbiEgwTzcfAkqdXJV1
3TjLsDgL0bTbSQIF6M5Ki8,19z3vpbBT09lZ54neDfuFL
0GfS3y8Jd7SHWd9R51s7Fo,2LDzwN4iZ4qbSA32E9CG4Q
2v3DuCVBbopteJqdM7aKQK,097kyycr5ZuLS2cPwwUHwt
4QAUGy6k7c3IOAhgWz52r7,37bCTD5iLWMpDcBanNkkXB
3Ciaf6WgvG95TGRGxQ1yO8,5r998zJ0MNYb2TTxyQmjxT
1mC2UjWt25Oixtqu7C6suL,1WhPuMFm5VaTJqe9rl3C5Q
2wenGTypSYHXl1sN1pNC7X,6Ol6C42O7AWnTkj8pHMHWv
