playlist_id,playlist_name,playlist_genre,playlist_subgenre
49qyKvg6UAQAvIMUIGMnP3,random playlist that can't decide its genre so go ahead jam along with these catchy tunes,pop,indie poptimism
7Ic1UwucK3ozdycPBIPVSR,Indie Poptimism,pop,indie poptimism
4hKPJNFIhdAg4pAksn78FJ,Indie Poptimism!,pop,indie poptimism
1E5VdGGWkpDQ682gdvJAZH,indie poptimism,pop,indie poptimism
2QiMewRbSavfZ9MSAYz2h6,Indie Poptimism,pop,indie poptimism
5jROYSZSL7cO0jGAqkPx7C,Music&Other Drugs,pop,indie poptimism
744VClUYfFnZCDPcOUkg5G,Deep-deep Bubble Pop,pop,indie poptimism
21nxmipQe5xtXoHHPaYfnY,Indie Poptimism,pop,indie poptimism
37i9dQZF1DX0XUsuxWHRQd,RapCaviar,rap,hip hop
37i9dQZF1DX0SM0LYsmbMT,Jazz Vibes,rap,hip hop
37i9dQZF1DXc8kgYqQLMfH,Lush Lofi,rap,hip hop
37i9dQZF1DX1ct2TQrAvRf,RAP 91,rap,hip hop
37i9dQZF1DWWQRwui0ExPn,Lo-Fi Beats,rap,hip hop
37i9dQZF1DWY6tYEFs22tT,Hip-Hop Central,rap,hip hop
37i9dQZF1DWXJnyndhASBe,Generacja Hip Hop,rap,hip hop
37i9dQZF1DWUFmyho2wkQU,Hip-Hop Drive,rap,hip hop
37i9dQZF1DWT5MrZnPU1zD,Hip Hop Controller,rap,hip hop
37i9dQZF1DX48TTZL62Yht,Hip-Hop Favourites,rap,hip hop
37i9dQZF1DX0sDai2F5jCQ,A1 Hip-Hop,rap,hip hop
37i9dQZF1DWVdgXTbYm2r0,Hip-Hop Mixtape,rap,hip hop
37i9dQZF1DXdhDukKQ88Cc,DK rap,rap,hip hop
37i9dQZF1DWTIuAboZgTMf,This Is Logic,rap,hip hop
37i9dQZF1DX36Xw4IJIVKA,Lofi Hip-Hop,rap,hip hop
37i9dQZF1DX76t638V6CA8,Rap Workout,rap,hip hop
37i9dQZF1DWTggY0yqBxES,Alternative Hip Hop,rap,hip hop
37i9dQZF1DX36edUJpD76c,Modus Mio,rap,hip hop
37i9dQZF1DWTqYqGLu7kTX,Hip Te Hop,rap,hip hop
37i9dQZF1DWVFZbCNivv6B,Arena Hip-Hop,rap,hip hop
4lcyWQDOzPfcbZrcBI3FOW,Southern Hip Hop,rap,southern hip hop
206vi9Q0p3juAU73flxPsz,Southern California Hip Hop Primer,rap,southern hip hop
0tLHH1C4HkWEUCXXSSjbOe,Dirty South Rap Classics by DJ HOTSAUCE,rap,southern hip hop
2NMW1nwQYSVlXd26uLenX6,90's Southern Hip Hop,rap,southern hip hop
5wsWBmQgDtKa8CEg7wTEMi,90s-2000s Southern Hip Hop / Crunk,rap,southern hip hop
0DdGqNa18DwYyfIR05OrW1,Viral Southern Hip Hop,rap,southern hip hop
0Hr2h94pKN8QAGVAgD6BsD,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,rap,southern hip hop
44bkJI1QGkT2O0GYJSsbkp,Badass Rock,rap,southern hip hop
18jT9NMRZifv6cMtK2jWD4,The Sound of Southern Hip Hop,rap,southern hip hop
3nTS97zUqxJBQeiXNRs963,Southern Soul BBQ Mix,rap,southern hip hop
3jPkaExIWXQWklcmmF5180,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",rap,southern hip hop
0VVH2Nzj6kBVGK3WIUQMAw,Minitruckin Playlist,rap,southern hip hop
0275i1VNfBnsNbPl0QIBpG,Hip-Hop 'n RnB,rap,southern hip hop
4IG024zoaGMurhTFBkMAv9,90's Hip Hop Ultimate Collection,rap,southern hip hop
5DyJsJZOpMJh34WvUrQzMV,HIP&HOP,rap,southern hip hop
3R5c1OfJY7Rzl3p28pzGtL,Southern Hip Hop,rap,southern hip hop
68y3WoFJMMKDHUIpqCnoM3,Contemporary Hip Hop,rap,southern hip hop
1QJ66s6YBZgxMUaVUyrhbo,3rd Coast Classics,rap,southern hip hop
57sYMLFXGD4ZqizzcMD7lz,Southern Hip Hop,rap,southern hip hop
4xJULuV0P5PLcMe3xP8Pgj,Southern soul & hip hop,rap,southern hip hop
5joQabz9ys3XPGbSx5CaKv,Gangster Rap,rap,gangster rap
0ZRwrJ2EDGyKR6YgQPWXeO,Gangster Rap Workout,rap,gangster rap
0u0qLLE8MZc679RZWCk1TT,Russian Gangster Rap,rap,gangster rap
2e0d7otcM1oyecfi3zZPWk,Gangster Rap | 100 % Gangster,rap,gangster rap
39IFMVQdRNdb7kVfyTvHjM,Gangsta Rap/90's Hip-Hop,rap,gangster rap
1qXg9ck25tBRxeXsj8mbDG,Gangster Rap Deutsch,rap,gangster rap
6m0BqpJfSP2m5xCOFjDRHw,GTA San Andreas Radio Los Santos,rap,gangster rap
5yGuoOwRQF3o8NVRRlvCj7,90s Hiphop / Gangsta Rap,rap,gangster rap
0BwUQpqHSlC2YfKwOp2dQV,Gangsta Rap 💎 Rap Party,rap,gangster rap
0t9TeyXE2mWe70JT3YwSoH,Oldschool Gangsta Rap 👑,rap,gangster rap
5GA8GDo7RQC3JEanT81B3g,GANGSTA Rap,rap,gangster rap
1g3APxk2mLVNU2TuHCPli0,90's Gangster Rap,rap,gangster rap
1Z1gW89x4MSBjkvVjGg7DQ,RAP Gangsta,rap,gangster rap
0Jw0HckkxCfIrOvpN081eV,RUSSIAN Gangster Rap,rap,gangster rap
62spXXfUxBed8nbd5xvH2O,Gangsta Rap/90's Hip-Hop,rap,gangster rap
3DUkl93JjPdOyX83SJr5ms,GANGSTA RAP,rap,gangster rap
0C2zyPdlkbWHrwVg9gqNdU,90s Gangsta Rap / Top Hip-hop Classics,rap,gangster rap
28Ke4pXWqF2A5b2GfQ1pQt,Mexican Gangsta Rap,rap,gangster rap
4sGnz2x5tbHE2YlW1nemfb,Rap Party 24/7 Radio / Gangsta Rap,rap,gangster rap
19WuHd4MxWLzE1fpMmw4S4,< DARK TRAP >,rap,gangster rap
37i9dQZF1DWXU2naFUn37x,Zona Trap,rap,trap
37i9dQZF1DWWr5uieiPUVM,Trapperz Brasil,rap,trap
37i9dQZF1DXde9tuMHuIsj,Trap Land,rap,trap
37i9dQZF1DWY3UKS6jvnxr,Trap strefa,rap,trap
37i9dQZF1DWUmxBdWX3Pp4,Trapperz,rap,trap
0NCspsyf0OS4BsPgGhkQXM,Trap Nation,rap,trap
37i9dQZF1DX4OjfOteYnH8,Flow Selecto,rap,trap
37i9dQZF1DWXrVH01e3PIE,Trapperz Argentina,rap,trap
37i9dQZF1DX1OIMC8iDi74,Trap Mojito,rap,trap
37i9dQZF1DWYBXtbGSCurj,Trap Ouro,rap,trap
37i9dQZF1DWTGaQ84g8alz,Trap Funk,rap,trap
37i9dQZF1DX0JcH25923HT,Trap Rewind,rap,trap
37i9dQZF1DXcC6YLqj8ET8,Arabic Trap,rap,trap
7kzKtw5vug3IIxKfLadi8A,Sad Trap,rap,trap
37i9dQZF1DWWlW7KLhEhCZ,Dose Trap,rap,trap
5aPwKjwNHr6dnCejLcPTVx,Trap Nation 🔊,rap,trap
6ltss0ThreZ3uIMn5mr4Tm,Trap Argentino - Trap Argentina,rap,trap
37i9dQZF1DWTLxOkM7PwUb,Trap Luv,rap,trap
37DFLy7lqF3qiR99Ss2ZGR,Trap 2020 🔥,rap,trap
7tkgK1tm9hYkWp7EFyOcAr,Trap Americana,rap,trap
37i9dQZF1DX74DnfGTwugU,This Is Guns N' Roses,rock,album rock
22XKr7O6bzSA5bHiwRCPNK,Michael Learns To Rock album,rock,album rock
0KNLLunbFh9XgitPMOGmQg,The Black Album,rock,album rock
3j2osvmecEao5nmo9jZ5df,City Pop 1985 シティーポップ,rock,album rock
4E3K9oQgvLcKEz0wgBBXxD,The Cranberries Best Of,rock,album rock
6BKqPGcrFMy6TczW0R5Vsz,Vault: Def Leppard Greatest Hits,rock,album rock
0XOIK4m26aeYSD61E5nSVW,80s Pop & Rock Hits and Album Tracks,rock,album rock
2gpKfzXEi8QWvgBNPDPk5R,Rock and Rios,rock,album rock
7GhTpb4eOp6403Bmgqz3db,Progressive Rock / Metal - Rock /Metal  Progresivo,rock,album rock
6LJtRKgDpzM8ZbbwC0jLhe,Mega Rock Ballads: The Best Slow Rock Compilation Ever !,rock,album rock
1bMYfBHYBCRHY5LGkjlpSy,House Of The Rising Sun,rock,album rock
6h9DHd1pHHiK84cQqJZyIp,Coldplay – Ghost Stories (Deluxe Edition),rock,album rock
1uKFRCQYci8kVgMy3xzTVH,70s Pop & Rock Hits and Deep Tracks,rock,album rock
0jilq2XZP9F2fwzp2k6iXK,L' ALBUM ROCK,rock,album rock
2gt9IfM8ASNiDzqg5jKyR5,ONE OK ROCK with Orchestra Japan Tour 2018 Setlist,rock,album rock
3E88dLx4fgFYY70gdGzdnB,The Queen - La Discografia Completa,rock,album rock
3opIxv3Y5GmXDNpbLFZxIm,Soda Stereo – El Ultimo Concierto,rock,album rock
5d1arTPDEr76KMg9geDinZ,Nikki Sixx's Top Pixx,rock,album rock
3yj9YnQGTdnFuKbDyXGDi6,The Sound of Album Rock,rock,album rock
3kysJw7lvVwSoOaL0KyW94,Caifanes La Historia,rock,album rock
37i9dQZF1DWXRqgorJj26U,Rock Classics,rock,classic rock
5BygwTQ3OrbiwVsQhXFHMz,Classic Rock,rock,classic rock
37i9dQZF1DXdOEFt9ZX0dh,Classic Rock Drive,rock,classic rock
37i9dQZF1DWYNSm3Z3MxiM,Classic Rock Workout,rock,classic rock
37i9dQZF1DWYDQ8wBxd7xt,Pinoy Classic Rock,rock,classic rock
37i9dQZF1DX0fWtUuB7bFE,Classic Rock Now,rock,classic rock
37i9dQZF1DX6TIU4D13lOY,Soft Rock Drive,rock,classic rock
6oghIlByD49KFGNmNU8GSH,Supernatural Classic Rock,rock,classic rock
3NcxM1LJJdua8AcRxtijNY,Classic Rock Legends,rock,classic rock
3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock Rock  Classicos",rock,classic rock
0QUlq0LMDVXSBtbyYLTyZh,Southern Rock/Classic Rock,rock,classic rock
29dTrOurPDrMcrnio2q6hZ,80s / Classic Rock,rock,classic rock
37i9dQZF1DWVyizF9BJ61m,Afro Psychedelica,rock,classic rock
6gUFdcGzKAHyDXY9TKC6cP,Classic Rock Retrogamer,rock,classic rock
37i9dQZF1DX1lwxXvReaux,Workday: Rock Classics,rock,classic rock
6TeyryiZ2UEf3CbLXyztFA,Classic Rock Greatest Hits,rock,classic rock
56dbowk1V5ycS5jW7DSvi5,Blues Rock,rock,classic rock
76lrxCrKrGDkDDf3SVPnl3,70's Classic Rock,rock,classic rock
4lIywN6kXl9KPm3OQ8u8G7,Classic Rock Radio,rock,classic rock
7CESj1xKbxdArRzloygvkl,Classic Rock Playlist.,rock,classic rock
4EYSGTuqe9cVfSVpX4gtGv,The Sound of Permanent Wave,rock,permanent wave
0tOy7ZY4E2PadXIyj8zU43,Permanent wave,rock,permanent wave
0dAbaJtkS9st5o0cBe1Zcu,"Muse Radio - (Uprising, Starlight, Supermassive Black Hole, Madness)",rock,permanent wave
5Go0Jsxj1UnsU7Om841BEo,Permanent Wave,rock,permanent wave
2ExyzXAbukW7I8bDqdGvPB,Permanent Wave,rock,permanent wave
0QN4FeJQ1mpCygRg9r2JIK,Permanent wave 🌊,rock,permanent wave
7rPsfDTqiZYIT4PVzQ4c0c,permanent wave,rock,permanent wave
4PjiT7SWnUsTTTvKOuR76f,keg party jukebox,rock,permanent wave
5glAD13obyL0G9SH9ukBz2,Permanent Wave,rock,permanent wave
3QGjcvI9hCZw81NqKq3ZGv,Intro to Permanent Wave,rock,permanent wave
6dqoVI7qwYLyNqbg0MPad3,Permanent Wave,rock,permanent wave
2foj4ZYVHRGqSd1aMqNPBj,Permanent Wave CHDB,rock,permanent wave
2bOjjgN1S3Gqd8vSMyafvJ,②⓪①⑨ mixed,rock,permanent wave
6CgjYkPIWTxJi8RtPcki02,SNZB PERMANENT WAVE,rock,permanent wave
3e6gYPyrTbaB8BWgSHCt5j,I didn’t know perm stood for permanent (wave),rock,permanent wave
3uFyGoayrP71xS6T6Y8Bh2,permanent wave,rock,permanent wave
1VnvyBDqoV5TCZAnXYferL,Modern Indie Rock // Alternative Rock / Garage Rock / Pop Punk / Grunge / Britpop / Pop Rock,rock,permanent wave
0VS9w0NY4KXfLORkhY81s8,Permanent Wave Cafe,rock,permanent wave
3HjTMn6O6adW8vcSMnqmhw,"""Permanent Wave""",rock,permanent wave
03qQtbNHoJuFezRu2CnLuF,Permanent Wave,rock,permanent wave
37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,rock,hard rock
37i9dQZF1DX1X7WV84927n,Hard Rock,rock,hard rock
37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock,rock,hard rock
3YouF0u7waJnolytf9JCXf,Hard Rock Workout,rock,hard rock
5nOO372uzpOM5rB2bRWfkp,Hard Rock Workout,rock,hard rock
37i9dQZF1DWViGKI2U5P2K,This Is Scorpions,rock,hard rock
55ybnG2z8rpTIerRfnCsw6,HARD ROCK CAFE,rock,hard rock
3sv5ViKoPDNnZRsklzEGMN,Hard Rock Cafe Classics,rock,hard rock
6kXNv8J3HCYztxjOIUzApv,Hard Rock Workout,rock,hard rock
5nQrMpkyWmxPX0gk74htMk,Hard Rock Workout!,rock,hard rock
1gAeQGQ7hr2q7IYmaejDW6,Classic Hard Rock,rock,hard rock
4TG1lzMD9HFvZ9E1Bk6Gnu,Workout Hard Rock,rock,hard rock
5hvf4yL105Rw6cvCP6AMjM,Rock Hubspot,rock,hard rock
28817h8FTrRI4V40DqHVaB,HARD ROCK Vibes,rock,hard rock
64BvJcehegyvhqQtV82Ddz,New Hard Rock,rock,hard rock
0y8MUle9Lf8VDNjPsskzJB,Rock Ballads 80s 90s | Best Rock Love Songs 80's 90's Music Hits,rock,hard rock
6pZlZ20vt3aDjIKw98aBtQ,70s Hard Rock,rock,hard rock
1NIX36ZFWEtgXSbSNghoue,Hard Rock Classics 1967-1991 (Party Edition),rock,hard rock
0EmGNFBBgqLmvdQGPbgiMp,2000's hard rock,rock,hard rock
37i9dQZF1DX0AMssoUKCz7,Tropical House,latin,tropical
37i9dQZF1DWYey22ryYM8U,Paraiso Tropical,latin,tropical
37i9dQZF1DX3fXJqxGjuEP,Vibra Tropical,latin,tropical
37i9dQZF1DX6RA5ZrA5a23,Tropical Vibes,latin,tropical
37i9dQZF1DXd8Gn5cSmvFy,Tropical Vibes,latin,tropical
37i9dQZF1DWZ1FUX6sM67g,Punto Tropical,latin,tropical
37i9dQZF1DWZ8fJXMbebf9,Orgulho Tropical,latin,tropical
2SRbIs0eBQwHeTP7kErjwo,Tropical House 🏝 2020 Hits,latin,tropical
06zrBJ5cts5aemZmqe80J7,Tropical House 🌴,latin,tropical
0TT57Pe3RZNGCy98G1UQpM,TROPICAL🌴,latin,tropical
37i9dQZF1DX07X8UDWKEwP,Tropical Rising,latin,tropical
37i9dQZF1DXbtuVQL4zoey,Sunny Beats,latin,tropical
37i9dQZF1DX0ES2mnOVvai,Tropical Nights,latin,tropical
37i9dQZF1DX1bDvyV0IkZ3,Tropical Beats,latin,tropical
3YdAwfgQLMS4AN2WjRfRlb,Tropical House Remixes 🍍 Tropical Remixes & Tropical Covers,latin,tropical
2oivDYqm1dQK4KbwVJTaf6,Tropical House 2020,latin,tropical
0vbtbmyihyvl2MVYrdKdGw,Tropical Morning,latin,tropical
2v41efarffe6iY8qpMK5Gj,Paraíso Tropical,latin,tropical
3pS63EDS40FVGYL41zAcU4,EDM TROPICAL,latin,tropical
37i9dQZF1DWSTc9FdySHtz,Tropical House Run 190 BPM,latin,tropical
37i9dQZF1DX6ThddIjWuGT,Latin Pop Classics,latin,latin pop
37i9dQZF1DX1QnNyJOBQBv,Latin Pop VIP,latin,latin pop
37i9dQZF1DWUxHPh2rEiHr,Global X,latin,latin pop
37i9dQZF1DX8womvTyUjrN,Latin Pop Rising,latin,latin pop
2kKzN3kRYDzBctlaWs7CP2,LATIN POP 2020 🔥 Pop latino actual,latin,latin pop
6IS6XTdbS9qJZgfjNKgpB8,MIX LATIN POP°,latin,latin pop
37i9dQZF1DXarsfY89zXC6,This Is Gloria Estefan,latin,latin pop
4BmnnqWEQAamNoVjtjrQJP,Latin Pop antiguo,latin,latin pop
5NTm3injIRkUMROsZr3C2O,Unplugged Hits 📣,latin,latin pop
5uOMV7g6vp8WxoqXfkzKaw,Latin Pop Songs,latin,latin pop
3CzQZEf6jmEjDmBIVO9rdR,F**KIN PERFECT,latin,latin pop
5ifDekrUt5lbSIMTSzNNqB,Pop Latino 2019 - Mix Canciones Reggaeton & Pop Latino - Pop En Español 2019 Musica Para Bailar,latin,latin pop
4JkkvMpVl4lSioqQjeAL0q,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,latin,latin pop
0HD4Pc1PK8fsyKQq9e2U2v,INDIE POP! TUNES,latin,latin pop
6Hbd65HmEAxTJ3cHZNUz2h,RADIO POP CHARTS,latin,latin pop
2v3I1zS56Y0cNHYsOAiCGV,LATIN POP- DJ GIAN,latin,latin pop
2kY6lVc5EcVfI5WNKmPQQG,Fiesta Latina Mix 🎈🎉💃🏻🕺🏻☀️🏖,latin,latin pop
0k2IDDkcVyIpIgE6d1woDM,Exitos 2020 - Latin Billboard,latin,latin pop
5wONX0lVyQE5XTxqjTUiUd,Latin Pop 2019,latin,latin pop
5SO7xYih5w8X5FEpKvU7Rt,Great Pops,latin,latin pop
37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton,latin,reggaeton
37i9dQZF1DWZjqjZMudx9T,Mansión Reggaetón,latin,reggaeton
7xWuNevFBmwnFEg6wzdCc7,Reggaeton 2020 ☀,latin,reggaeton
37i9dQZF1DX8SfyqmSFDwe,Reggaeton Classics,latin,reggaeton
37i9dQZF1DWUlCmB8llCTB,Perreo City,latin,reggaeton
37i9dQZF1DWVskFRGurTfg,De Fiesta,latin,reggaeton
37i9dQZF1DWVOLXBOylBUZ,El Ritmo,latin,reggaeton
37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!,latin,reggaeton
37i9dQZF1DWWU6Rfto8Ppm,Reggaeton De Ayer,latin,reggaeton
0T47pLnihK4xB8Bk9IQ0Dv,Tusa - Karol G | China - Anuel AA | Estrenos Reggaeton y Música Urbana 2019,latin,reggaeton
37i9dQZF1DXdnGF35OawbN,Verano Forever,latin,reggaeton
37i9dQZF1DXco4ODkIraMD,Reggaeton Rewind,latin,reggaeton
42E6uFhL4e2nXmbmeigwXb,REGGAETON ANTIGUO 🔥,latin,reggaeton
37i9dQZF1DXd8p9XRfIfUn,Academia Reggaetón,latin,reggaeton
31hG19URdBvLEpQWKFYfdD,REGGAETON VIEJO,latin,reggaeton
